SN,msgtype,messages,SendTime,MOMSN,recs,sensors,software,H_MeasureTime,H_Dutycycle,H_Endvolt,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,T214,T215,T216,T217,T218,T219,T220,T221,T222,T223,T224,T225,T226,T227,T228,T229,T230,T231,T232,T233,T234,T235,T236,T237,T238,T239,AirTemp,
234,10,1,2023-02-16 14:00:16,"172/173","132/109",241,801,0,0,0,-9,-8.9375,-8.875,-8.6875,-8.6875,-8.6875,-8.75,-8.75,-8.75,-8.75,-8.75,-8.8125,-8.875,-8.875,-8.9375,-8.9375,-9,-9,-9,-8.9375,-8.9375,-9,-8.9375,-8.9375,-8.875,-8.9375,-8.9375,-9,-9.0625,-9,-9,-9,-9.0625,-9,-9.0625,-9.125,-9.0625,-9.0625,-9,-8.9375,-9,-8.9375,-8.9375,-9,-8.9375,-8.875,-8.875,-8.875,-8.875,-8.875,-8.6875,-8.5,-8.6875,-8.875,-9,-8.9375,-8.875,-9,-9,-9,-9.0625,-9,-8.9375,-8.9375,-8.9375,-8.75,-8.5,-8.375,-8.4375,-8.5625,-8.5625,-8.625,-8.75,-8.6875,-8.6875,-8.6875,-8.6875,-8.75,-8.75,-8.8125,-8.8125,-8.875,-8.9375,-8.875,-8.875,-8.8125,-8.875,-8.9375,-9.0625,-9.0625,-9.0625,-9.125,-9.0625,-9.0625,-9.0625,-9.125,-9.125,-9.1875,-9.1875,-9.25,-9.25,-9.1875,-9.0625,-9.125,-9.125,-9.0625,-9.0625,-9,-9,-9,-9,-9,-8.9375,-8.875,-8.875,-8.875,-8.8125,-8.625,-8.5,-8.8125,-8.9375,-8.9375,-9,-9,-8.9375,-9,-9,-9,-8.9375,-8.9375,-8.9375,-8.875,-8.6875,-8.375,-8.375,-8.5625,-8.625,-8.75,-8.75,-8.8125,-8.75,-8.8125,-8.75,-8.75,-8.75,-8.8125,-8.875,-8.9375,-8.9375,-8.9375,-8.875,-8.9375,-8.875,-8.8125,-8.9375,-9.0625,-9,-9.0625,-9,-9,-9.0625,-9.0625,-9.0625,-9.0625,-9.0625,-9.0625,-9.0625,-9.125,-9.0625,-9.125,-9.0625,-9,-9,-9,-8.9375,-8.9375,-8.9375,-9,-8.875,-8.875,-8.875,-8.875,-8.8125,-8.75,-8.6875,-8.875,-9,-9.0625,-9.125,-9.0625,-9.125,-9.0625,-9.0625,-9,-9,-8.9375,-8.9375,-8.75,-8.6875,-8.4375,-8.4375,-8.5625,-8.625,-8.625,-8.75,-8.75,-8.75,-8.8125,-8.8125,-8.875,-8.875,-8.875,-8.875,-8.9375,-9,-8.9375,-8.9375,-8.9375,-8.9375,-9,-9,-9.0625,-9,-9,-9,-9,-9,-9,-8.9375,-8.9375,-9,-9,-8.9375,-9,-8.9375,-9,-9,-9.125,-9.0625,-9.0625,-9.1875,
240,10,1,2023-02-16 20:00:16,"174/175","132/109",241,801,0,0,0,15.0625,15,14.8125,14.875,15,15.125,15.125,15.1875,15.125,14.9375,14.75,14.6875,14.625,14.625,14.75,14.9375,15.0625,15.1875,15.25,15.375,15.4375,15.5625,15.6875,15.8125,16,16.125,16.3125,16.3125,16.3125,16.25,16.25,16.25,16.1875,16.1875,16.125,16.0625,16.0625,16.0625,16.125,16,15.9375,15.9375,15.9375,15.8125,15.875,15.8125,15.875,15.8125,15.75,15.75,15.6875,15.625,15.625,15.6875,15.6875,15.75,15.75,15.75,15.9375,16,15.9375,16.0625,15.9375,15.875,15.8125,15.6875,15.6875,15.5625,15.625,15.5625,15.75,15.8125,15.8125,15.9375,16,16,16,15.875,15.8125,15.625,15.5625,15.4375,15.3125,15.3125,15.25,15.1875,15.125,15.125,15.125,15.1875,15.25,15.375,15.625,15.6875,15.75,15.75,15.8125,15.9375,16,15.9375,15.875,15.875,15.75,15.625,15.5,15.4375,15.375,15.375,15.3125,15.4375,15.5,15.5625,15.625,15.6875,15.6875,15.6875,15.625,15.5625,15.6875,15.625,15.625,15.8125,15.875,16,16.1875,16.3125,16.375,16.375,16.375,16.375,16.3125,16.125,16.0625,15.875,15.6875,15.625,15.625,15.5625,15.5,15.5625,15.5625,15.625,15.625,15.6875,15.75,15.8125,15.75,15.6875,15.5625,15.5625,15.5625,15.5625,15.5625,15.625,15.5625,15.625,15.8125,15.875,16.0625,16.1875,16.375,16.4375,16.5,16.4375,16.4375,16.375,16.375,16.25,16.1875,16.1875,16.125,16.125,16,15.9375,15.9375,15.875,15.875,15.8125,15.8125,15.75,15.75,15.6875,15.625,15.5,15.4375,15.25,15.25,15.1875,15.1875,15.3125,15.3125,15.5,15.75,15.9375,15.9375,15.875,15.75,15.6875,15.625,15.5625,15.5,15.4375,15.4375,15.4375,15.375,15.375,15.3125,15.25,15.1875,15.125,15.125,15.1875,15.1875,15.3125,15.3125,15.5,15.625,15.75,15.9375,16.1875,16.4375,16.6875,16.9375,17.0625,17.125,17.1875,17.125,17.125,17,16.8125,16.75,16.875,16.875,16.8125,16.8125,16.75,16.5625,16.25,16.0625,15.75,15.75,
240,11,1,2023-02-16 20:02:10,"176","241",241,801,30,0,7980,1.8125,2,1.9375,1.875,1.9375,2,2.0625,2,1.9375,1.9375,1.9375,1.9375,1.9375,1.9375,2,1.875,1.9375,1.875,1.875,1.875,1.8125,1.875,1.8125,1.8125,1.8125,1.8125,1.9375,2,2,1.9375,1.875,1.875,1.75,1.8125,1.75,1.75,1.8125,1.8125,1.8125,1.75,1.75,1.75,1.75,1.6875,1.6875,1.6875,1.75,1.6875,1.5,1.625,1.625,1.625,1.625,1.6875,1.75,1.75,1.75,1.8125,1.8125,1.75,1.8125,1.8125,1.8125,1.8125,1.75,1.75,1.8125,1.6875,1.6875,1.6875,1.6875,1.75,1.5625,1.5625,1.5625,1.5625,1.5625,1.625,1.625,1.6875,1.625,1.625,1.625,1.625,1.625,1.625,1.5625,1.625,1.5625,1.625,1.5625,1.5625,1.625,1.5625,1.625,1.5625,1.5625,1.5625,1.625,1.625,1.5625,1.6875,1.625,1.625,1.5625,1.5,1.5625,1.5625,1.5,1.5,1.5,1.5625,1.5625,1.5625,1.5,1.5,1.5,1.5,1.4375,1.4375,1.5,1.5,1.5,1.5625,1.5625,1.5625,1.5625,1.625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5,1.5,1.5,1.5625,1.625,1.5625,1.5625,1.5,1.5,1.5625,1.5625,1.4375,1.5,1.5625,1.5,1.5625,1.5,1.5,1.5,1.5625,1.5,1.5,1.4375,1.5,1.5,1.5,1.5625,1.5,1.5625,1.5625,1.5,1.5,1.5,1.5,1.4375,1.375,1.4375,1.375,1.4375,1.375,1.4375,1.4375,1.4375,1.375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.375,1.4375,1.375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.5,1.5,1.5,1.5,1.5,1.4375,1.4375,1.375,1.4375,1.5,1.4375,1.5,1.375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.5,1.4375,1.4375,1.3125,1.375,1.375,1.3125,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.4375,1.4375,1.375,1.4375,1.375,1.375,1.375,1.375,1.4375,1.4375,1.4375,1.4375,1.1875,0.0625,
240,14,1,2023-02-16 20:02:10,"177","241",241,801,120,0,7980,4.375,5.125,4.875,4.5625,4.625,5.125,5.4375,5.3125,5.0625,4.9375,5.125,5.25,5.375,5.375,5.4375,5.375,5.25,5,5,5.125,5.0625,5.1875,5.25,5.1875,5.25,5.3125,5.375,5.4375,5.375,5.1875,5,4.8125,4.625,4.625,4.625,4.75,4.9375,4.9375,4.9375,4.875,4.875,4.625,4.5625,4.5,4.5625,4.5625,4.5625,4.4375,4.125,4.25,4.3125,4.4375,4.375,4.5625,4.875,5,5.125,5.1875,5.125,5.0625,5.0625,5.0625,5.125,5.25,5.25,5.125,4.875,4.625,4.6875,4.8125,4.875,4.875,4.625,4.5625,4.5,4.5625,4.625,4.5625,4.625,4.6875,4.75,4.6875,4.6875,4.6875,4.625,4.5625,4.5,4.5,4.4375,4.4375,4.4375,4.4375,4.4375,4.5,4.4375,4.1875,4.125,4.1875,4.3125,4.25,4.25,4.25,4.125,4,3.9375,3.875,3.9375,3.875,3.75,3.9375,4.1875,4.3125,4.3125,4.25,4.25,4.25,4.25,4.25,4.1875,4.3125,4.375,4.4375,4.4375,4.4375,4.4375,4.375,4.375,4.3125,4.25,4.25,4.25,4.375,4.375,4.25,4,4,4.1875,4.4375,4.4375,4.4375,4.375,4.3125,4.375,4.3125,4.1875,4.1875,4.25,4.25,4.375,4.375,4.375,4.4375,4.625,4.625,4.5625,4.375,4.25,4.375,4.375,4.4375,4.375,4.3125,4.25,4.1875,4.0625,4.125,4.1875,4.25,4.125,4.3125,4.25,4.375,4.25,4.125,4.0625,4.125,4.1875,4.25,4.25,4.1875,4.1875,4.1875,4.25,4.1875,4,4,4,4,4,4,4,3.875,3.875,4.0625,4.1875,4.3125,4.375,4.3125,4.1875,4.0625,4,4.125,4.0625,3.9375,3.875,3.75,3.9375,4,4.0625,4.125,4.125,4.125,4.1875,4.1875,4.25,4.125,4.125,4.0625,4,4,3.75,3.6875,3.6875,3.6875,3.625,3.6875,3.625,3.75,3.75,3.6875,3.6875,3.6875,3.6875,3.75,3.6875,3.6875,3.75,3.75,3.625,2.75,0.125,
246,10,1,2023-02-17 02:00:16,"179/180","132/109",241,801,0,0,0,19.4375,19.375,19.3125,19.375,19.25,19.25,19.1875,19.25,19.3125,19.1875,19.125,19,18.9375,18.75,18.8125,18.9375,19.0625,19.125,19.1875,19.25,19.25,19.3125,19.3125,19.375,19.5,19.5,19.5625,19.5625,19.5,19.4375,19.5,19.5625,19.5625,19.625,19.625,19.5625,19.625,19.625,19.6875,19.625,19.5625,19.5625,19.5625,19.4375,19.5,19.4375,19.375,19.375,19.3125,19.3125,19.3125,19.3125,19.25,19.3125,19.25,19.3125,19.375,19.375,19.5625,19.5625,19.4375,19.625,19.5625,19.5625,19.5,19.4375,19.4375,19.375,19.4375,19.375,19.4375,19.4375,19.375,19.375,19.3125,19.3125,19.3125,19.4375,19.5,19.4375,19.4375,19.375,19.25,19.25,19.1875,19.125,19.0625,19.0625,19.0625,19.0625,19.0625,19.125,19.25,19.1875,19.25,19.25,19.3125,19.4375,19.5,19.5625,19.625,19.6875,19.6875,19.6875,19.625,19.625,19.5625,19.5,19.375,19.375,19.375,19.375,19.3125,19.3125,19.25,19.3125,19.25,19.1875,19.3125,19.25,19.25,19.3125,19.3125,19.375,19.4375,19.5,19.625,19.625,19.625,19.6875,19.6875,19.625,19.625,19.5625,19.4375,19.4375,19.5,19.4375,19.375,19.375,19.3125,19.25,19.1875,19.25,19.25,19.3125,19.375,19.3125,19.3125,19.3125,19.375,19.3125,19.375,19.375,19.3125,19.25,19.375,19.375,19.375,19.4375,19.5,19.5,19.5,19.5625,19.5625,19.5625,19.5625,19.5625,19.5625,19.5625,19.625,19.625,19.5625,19.5625,19.4375,19.4375,19.4375,19.375,19.375,19.3125,19.3125,19.3125,19.375,19.25,19.25,19.1875,19.25,19.25,19.25,19.3125,19.3125,19.4375,19.5625,19.625,19.625,19.625,19.4375,19.4375,19.375,19.375,19.375,19.25,19.25,19.25,19.1875,19.1875,19.125,19.0625,19,18.9375,19,19.0625,19.125,19.25,19.25,19.375,19.375,19.375,19.5,19.5625,19.625,19.6875,19.75,19.75,19.75,19.8125,19.6875,19.8125,19.8125,19.8125,19.75,19.875,19.875,19.8125,19.8125,19.6875,19.5625,19.375,19.375,19.3125,19.25,
252,10,1,2023-02-17 08:00:16,"181/182","132/109",241,801,0,0,0,20.5625,20.625,20.5625,20.6875,20.5625,20.625,20.5,20.5625,20.5625,20.4375,20.4375,20.375,20.375,20.25,20.3125,20.375,20.4375,20.5,20.5,20.5625,20.5625,20.5625,20.625,20.6875,20.75,20.75,20.75,20.6875,20.625,20.625,20.5625,20.6875,20.625,20.6875,20.625,20.5625,20.625,20.625,20.6875,20.625,20.625,20.6875,20.6875,20.5625,20.6875,20.625,20.6875,20.6875,20.625,20.6875,20.6875,20.6875,20.6875,20.75,20.75,20.8125,20.75,20.8125,20.8125,20.75,20.625,20.6875,20.6875,20.6875,20.75,20.6875,20.75,20.6875,20.75,20.6875,20.8125,20.75,20.6875,20.75,20.75,20.6875,20.6875,20.6875,20.625,20.5625,20.5625,20.5625,20.5,20.5,20.5,20.4375,20.375,20.375,20.375,20.375,20.3125,20.375,20.5,20.375,20.4375,20.375,20.375,20.4375,20.4375,20.4375,20.5,20.5625,20.5625,20.5,20.5,20.5,20.4375,20.5,20.4375,20.4375,20.4375,20.4375,20.5,20.5625,20.5625,20.625,20.5625,20.625,20.75,20.6875,20.6875,20.75,20.75,20.8125,20.875,20.875,20.875,20.875,20.8125,20.875,20.875,20.8125,20.875,20.875,20.75,20.75,20.75,20.6875,20.6875,20.6875,20.6875,20.625,20.5625,20.5625,20.5625,20.5625,20.625,20.625,20.625,20.5625,20.625,20.625,20.625,20.625,20.5625,20.5625,20.625,20.625,20.6875,20.6875,20.75,20.6875,20.6875,20.6875,20.6875,20.6875,20.625,20.625,20.625,20.625,20.625,20.625,20.625,20.5625,20.5625,20.5625,20.5625,20.5625,20.625,20.5625,20.625,20.625,20.6875,20.625,20.625,20.5625,20.625,20.6875,20.625,20.6875,20.625,20.6875,20.75,20.75,20.75,20.75,20.625,20.75,20.6875,20.6875,20.75,20.6875,20.6875,20.6875,20.625,20.625,20.625,20.5,20.5,20.4375,20.4375,20.4375,20.4375,20.5625,20.5,20.625,20.625,20.625,20.75,20.75,20.8125,20.8125,20.8125,20.875,20.9375,20.9375,20.875,20.875,20.9375,20.8125,20.8125,20.875,20.875,20.875,20.8125,20.75,20.6875,20.5625,20.5625,20.375,20.75,
264,11,1,2023-02-17 20:02:08,"184","241",241,801,30,0,7980,1.75,1.9375,2,1.9375,1.875,1.9375,1.9375,2,1.875,1.875,1.8125,1.875,1.875,1.875,1.8125,1.875,1.875,1.875,1.875,1.8125,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.8125,1.8125,1.8125,1.875,1.75,1.8125,1.75,1.75,1.6875,1.75,1.8125,1.8125,1.8125,1.75,1.75,1.6875,1.75,1.75,1.75,1.75,1.625,1.5,1.5625,1.625,1.5625,1.625,1.625,1.75,1.75,1.6875,1.75,1.6875,1.75,1.75,1.75,1.75,1.75,1.75,1.6875,1.6875,1.6875,1.625,1.625,1.6875,1.625,1.5,1.5625,1.5,1.5,1.5625,1.5625,1.5,1.5625,1.625,1.5625,1.5625,1.5625,1.5625,1.5625,1.625,1.5625,1.5,1.5625,1.5625,1.5,1.5,1.5,1.5,1.5,1.5,1.5625,1.5625,1.5625,1.5,1.5625,1.5625,1.5625,1.5625,1.5,1.5,1.5,1.5,1.5,1.5,1.5625,1.5,1.5,1.5,1.5,1.4375,1.375,1.375,1.5,1.5,1.4375,1.4375,1.5,1.5,1.5,1.5625,1.5625,1.5,1.5,1.5,1.5,1.5,1.4375,1.4375,1.4375,1.5,1.5625,1.5,1.5,1.4375,1.4375,1.5,1.5,1.375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.5,1.5,1.4375,1.4375,1.4375,1.4375,1.5,1.5,1.5,1.4375,1.4375,1.5,1.4375,1.4375,1.5,1.4375,1.4375,1.375,1.3125,1.375,1.375,1.3125,1.375,1.375,1.375,1.375,1.375,1.4375,1.375,1.4375,1.375,1.375,1.4375,1.375,1.375,1.3125,1.375,1.375,1.375,1.375,1.3125,1.3125,1.375,1.4375,1.5,1.5,1.4375,1.4375,1.375,1.3125,1.375,1.4375,1.4375,1.4375,1.4375,1.375,1.4375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.3125,1.3125,1.375,1.375,1.3125,1.375,1.375,1.375,1.375,1.3125,1.375,1.3125,1.375,1.3125,1.3125,1.375,1.3125,1.3125,1.375,1.375,1.375,1.375,1.3125,1.375,1.125,0,
276,10,1,2023-02-18 08:00:16,"185/186","132/109",241,801,0,0,0,14.8125,14.875,14.8125,14.875,14.875,14.9375,14.875,15,15.0625,15.0625,15.0625,15.0625,15.125,15,15,15,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.0625,15.1875,15.125,15.125,15.125,15.0625,15.0625,15.0625,15.125,15,15.0625,15.0625,14.9375,15,15,15.125,15,15,15,15,14.875,14.9375,14.875,14.875,14.875,14.8125,14.875,14.875,14.875,14.8125,14.8125,14.8125,14.8125,14.75,14.75,14.75,14.75,14.6875,14.8125,14.75,14.75,14.8125,14.8125,14.875,14.875,14.9375,14.875,15,15,14.9375,15,15,15,15,15.0625,15,15,15,15,15,15.125,15.0625,15.0625,15.0625,15.125,15.125,15.0625,15.0625,15.0625,15.125,15.0625,15.125,15.0625,15.125,15.1875,15.125,15.125,15.0625,15.125,15.125,15.0625,15.0625,15.0625,15.125,15.125,15.0625,15.0625,15,15,14.9375,14.9375,14.875,14.875,14.8125,14.8125,14.9375,14.875,14.75,14.8125,14.75,14.75,14.75,14.75,14.8125,14.8125,14.8125,14.8125,14.8125,14.8125,14.875,14.9375,14.875,14.875,14.9375,14.9375,14.9375,15,15,15,15,15,15,15,15,15,15,15,15.0625,15.0625,15.125,15.125,15.0625,15,15.125,15.0625,15.125,15.125,15.125,15.125,15.125,15.1875,15.125,15.125,15.125,15.0625,15.0625,15,15,15.0625,15.0625,15.0625,15.0625,15,15,14.9375,14.9375,14.875,14.875,14.875,14.9375,14.875,14.875,14.8125,14.875,14.875,14.8125,14.8125,14.75,14.8125,14.8125,14.8125,14.75,14.8125,14.75,14.8125,14.875,14.875,14.9375,14.875,14.875,14.9375,14.9375,15,15,15,15,14.9375,15,15.0625,15,15.125,15.0625,15.125,15.0625,15,15.0625,15.1875,15.125,15.0625,15.125,15.125,15.125,15.1875,15.0625,15.125,15.0625,15.0625,15,15,15,15,15,15.0625,15.0625,15,15.0625,15,15.1875,
282,10,1,2023-02-18 14:00:16,"188/189","132/109",241,801,0,0,0,-24.6875,-24.75,-24.75,-24.75,-24.6875,-24.6875,-24.6875,-24.5,-24.5,-24.3125,-24.1875,-24.25,-24.3125,-24.3125,-24.3125,-24.375,-24.5,-24.5,-24.5625,-24.4375,-24.4375,-24.625,-24.4375,-24.3125,-24.25,-24.25,-24.1875,-24.125,-24.125,-24,-24,-24.0625,-24.125,-24.1875,-24.25,-24.3125,-24.3125,-24.375,-24.375,-24.25,-24.3125,-24.3125,-24.5,-24.5625,-24.5625,-24.5,-24.5,-24.5,-24.4375,-24.375,-24.25,-24.1875,-24.1875,-24.1875,-24.3125,-24.375,-24.4375,-24.5,-24.375,-24.4375,-24.4375,-24.5625,-24.5625,-24.625,-24.625,-24.625,-24.5625,-24.5625,-24.5625,-24.4375,-24.5,-24.625,-24.625,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.5,-24.4375,-24.5,-24.375,-24.375,-24.375,-24.4375,-24.4375,-24.5,-24.5625,-24.5625,-24.625,-24.625,-24.5,-24.4375,-24.375,-24.25,-24.25,-24.1875,-24.3125,-24.5,-24.5625,-24.4375,-24.5,-24.4375,-24.375,-24.5,-24.5625,-24.5625,-24.625,-24.625,-24.5625,-24.625,-24.5625,-24.5625,-24.4375,-24.375,-24.25,-24.1875,-24,-23.75,-23.875,-24.3125,-24.375,-24.25,-24,-23.9375,-24.1875,-24.3125,-24.5625,-0.0625,-0.1875,-0.125,-0.0625,-0.0625,-0.125,-0.0625,-0.0625,-0.125,-0.125,-0.0625,-0.125,-0.1875,-0.125,-0.1875,-0.1875,-0.125,-0.1875,-0.1875,-0.1875,-0.1875,-0.25,-0.1875,-0.1875,-0.25,-0.25,-0.1875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.1875,-0.125,-0.125,-0.1875,-0.1875,-0.0625,-0.125,-0.1875,-0.1875,-0.1875,-0.125,-0.25,-0.25,-0.1875,-0.1875,-0.1875,-0.25,-0.0625,-0.1875,-0.0625,-0.125,-0.125,-0.25,-0.125,-0.0625,-0.25,-0.1875,-0.1875,-0.1875,-0.125,-0.125,-0.125,-0.125,-0.25,-0.125,-0.0625,-0.125,-0.0625,-0.125,-0.125,-0.125,-0.1875,-0.125,-0.0625,-0.125,-0.0625,-0.1875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.1875,-0.125,-0.3125,-0.125,-0.125,-0.125,-0.125,-0.1875,-0.125,-0.1875,-0.125,-0.1875,-0.125,-0.125,-0.125,-0.125,-0.0625,-0.0625,-0.1875,-0.1875,-0.1875,-0.125,-0.25,-0.1875,-0.375,-24.5,
288,10,1,2023-02-18 18:00:16,"192/193","132/109",241,801,0,0,0,-23.0625,-22.875,-22.75,-22.8125,-22.8125,-22.75,-22.75,-22.625,-22.625,-22.4375,-22.375,-22.4375,-22.375,-22.375,-22.5,-22.5,-22.5,-22.4375,-22.4375,-22.25,-22.3125,-22.3125,-22.3125,-22.3125,-22.25,-22.3125,-22.3125,-22.25,-22,-21.5625,-20.875,-18.875,-15.3125,-12.1875,-11.25,-10.9375,-10.8125,-10.8125,-10.75,-10.4375,-10,-9.5,-8.75,-8,-7.5625,-7,-6.5,-5.75,-4.75,-4,-3.5625,-3.1875,-3.0625,-2.875,-2.8125,-2.625,-2.5625,-2.375,-2.25,-2.125,-2.0625,-2.0625,-1.9375,-2,-1.875,-1.875,-1.9375,-1.9375,-2,-1.9375,-1.9375,-1.9375,-1.9375,-1.875,-1.875,-1.875,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.8125,-1.8125,-1.875,-1.875,-1.8125,-1.8125,-1.875,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.6875,-1.8125,-1.8125,-1.75,-1.75,-1.8125,-1.75,-1.8125,-1.875,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.75,-1.8125,-1.75,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.75,-1.8125,-1.75,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.875,-1.75,-1.8125,-1.75,-1.8125,-1.75,-1.75,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.875,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.75,-1.8125,-1.75,-1.75,-1.75,-1.75,-1.8125,-1.8125,-1.875,-1.8125,-1.875,-1.875,-1.75,-1.75,-1.75,-1.75,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.875,-1.8125,-1.875,-1.75,-1.8125,-1.8125,-1.8125,-1.75,-1.75,-1.8125,-1.8125,-1.75,-1.8125,-1.8125,-1.8125,-1.75,-1.8125,-1.9375,-1.8125,-1.8125,-1.875,-1.75,-1.75,-1.8125,-1.8125,-1.8125,-1.75,-1.6875,-1.75,-1.8125,-1.8125,-1.875,-1.8125,-1.8125,-1.8125,-1.8125,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.8125,-23.25,
