Longitude (x);Latitude (y);Station Name;Climate ID;Date/Time (UTC);Year;Month;Day;Time (UTC);Temp (C);Temp Flag;Dew Point Temp (C);Dew Point Temp Flag;Rel Hum (%);Rel Hum Flag;Precip. Amount (mm);Precip. Amount Flag;Wind Dir (10s deg);Wind Dir Flag;Wind Spd (km/h);Wind Spd Flag;Visibility (km);Visibility Flag;Stn Press (kPa);Stn Press Flag;Hmdx;Hmdx Flag;Wind Chill;Wind Chill Flag;Weather
-61.68;56.55;NAIN;8502799;2017-05-01 00:00;2017;5;1;00:00;-6.7;;-13.7;;57;;0.0;;30;;46;;;;101.55;;;;-17;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 01:00;2017;5;1;01:00;-6.9;;-14.1;;57;;0.0;;29;;60;;;;101.49;;;;-18;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 02:00;2017;5;1;02:00;-7.3;;-14.1;;58;;0.0;;30;;56;;;;101.52;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 03:00;2017;5;1;03:00;-7.8;;-14.2;;60;;0.0;;30;;52;;;;101.54;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 04:00;2017;5;1;04:00;-8.1;;-14.4;;60;;0.0;;28;;30;;;;101.63;;;;-17;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 05:00;2017;5;1;05:00;-8.0;;-14.6;;59;;0.0;;29;;51;;;;101.57;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 06:00;2017;5;1;06:00;-8.2;;-15.1;;58;;0.0;;30;;46;;;;101.57;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 07:00;2017;5;1;07:00;-8.6;;-14.9;;60;;0.0;;29;;40;;;;101.59;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 08:00;2017;5;1;08:00;-8.8;;-15.0;;60;;0.0;;29;;42;;;;101.63;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 09:00;2017;5;1;09:00;-8.3;;-14.9;;59;;0.0;;31;;43;;;;101.67;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 10:00;2017;5;1;10:00;-8.3;;-14.9;;59;;0.0;;29;;34;;;;101.67;;;;-18;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 11:00;2017;5;1;11:00;-7.2;;-14.2;;58;;0.0;;29;;29;;;;101.71;;;;-16;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 12:00;2017;5;1;12:00;-6.0;;-13.6;;55;;0.0;;28;;19;;;;101.77;;;;-13;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 13:00;2017;5;1;13:00;-5.1;;-13.1;;54;;0.0;;29;;35;;;;101.78;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 14:00;2017;5;1;14:00;-4.0;;-12.2;;53;;0.0;;29;;17;;;;101.80;;;;-10;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 15:00;2017;5;1;15:00;-3.6;;-11.1;;56;;0.0;;28;;32;;;;101.76;;;;-11;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 16:00;2017;5;1;16:00;-3.2;;-11.1;;54;;0.0;;30;;36;;;;101.74;;;;-11;;NA
-61.68;56.55;NAIN;8502799;2017-05-01 17:00;2017;5;1;17:00;-2.3;;-10.6;;53;;0.0;;29;;31;;;;101.73;;;;-10;;NA
